10	10	10	10	10	10	10	10	10	10	
9	9	9	11	11	11	11	9	11	11	
10	8	10	10	12	10	10	8	10	12	
9	7	11	9	13	11	9	9	11	13	
10	6	12	8	12	10	10	8	10	12	
9	7	13	9	13	9	9	9	9	13	
10	6	14	8	14	8	10	8	10	12	
11	5	13	9	15	9	9	7	9	13	
12	6	12	10	16	10	8	8	8	14	
11	7	13	9	17	11	9	7	9	13	
10	6	12	8	18	10	10	8	8	14	
9	7	13	9	17	11	11	9	9	15	
8	8	12	10	16	10	10	10	10	16	
7	9	11	9	17	9	11	9	9	17	
8	10	10	8	16	10	12	8	8	18	
7	11	9	7	17	11	11	7	9	17	
6	10	8	8	18	12	10	6	10	18	
7	11	7	7	19	13	11	5	11	19	
6	12	6	6	20	14	12	6	12	20	
5	11	5	5	21	15	13	5	11	21	
4	12	4	6	20	14	14	6	12	22	
3	11	5	7	21	13	13	7	13	23	
2	10	4	8	20	14	14	8	12	22	
1	9	3	7	19	13	15	7	13	21	
2	8	4	8	18	12	16	8	12	22	
3	7	5	7	19	13	15	9	13	23	
2	8	4	6	20	12	16	10	12	22	
1	9	3	7	19	13	17	11	13	21	
0	10	2	6	20	14	18	12	14	22	
1	9	3	5	19	15	19	13	13	21	
2	10	4	6	20	16	20	12	14	20	
3	11	3	5	19	15	21	13	15	19	
2	10	2	4	20	16	22	12	14	20	
1	9	3	3	19	17	21	11	15	19	
0	10	4	2	20	18	20	12	16	18	
0	9	5	1	19	19	19	13	15	19	
0	8	4	0	20	18	20	12	14	18	
0	9	5	1	19	19	19	13	13	17	
1	8	6	2	20	18	20	14	12	16	
0	9	7	1	19	19	19	13	13	17	
0	10	8	0	20	20	20	14	14	16	
1	9	9	1	19	19	19	13	13	15	
0	8	10	0	18	18	20	12	12	16	
0	7	11	1	19	17	19	11	13	17	
0	8	12	2	18	16	18	12	12	18	
0	9	11	3	17	15	19	13	11	19	
1	10	10	2	16	16	18	12	10	18	
0	9	9	1	17	15	17	11	11	19	
0	10	8	2	18	14	18	12	10	18	
1	9	7	3	17	13	17	13	11	17	
2	8	8	2	18	14	16	12	12	18	
1	7	9	3	19	15	17	13	13	19	
2	8	10	2	18	14	16	14	14	18	
3	7	11	3	17	13	17	13	15	17	
4	6	12	2	16	12	16	12	14	18	
5	7	11	1	15	11	15	11	13	17	
4	6	12	0	16	10	14	12	12	16	
3	7	11	0	15	11	15	11	13	15	
2	8	10	1	14	10	16	10	14	16	
1	7	11	2	15	11	15	9	13	15	
0	8	12	3	16	10	14	10	12	14	
0	9	11	2	17	9	13	9	11	15	
1	8	12	3	18	8	12	8	10	14	
0	9	13	2	19	9	13	9	11	15	
0	10	14	1	18	10	12	8	12	16	
1	11	15	2	19	11	13	9	13	17	
0	10	16	1	18	10	14	8	12	18	
0	9	17	2	17	9	15	7	11	19	
0	8	18	3	16	10	16	6	10	20	
0	7	17	2	15	9	15	7	9	19	
1	8	16	3	16	8	14	6	8	18	
2	9	17	4	15	7	13	5	7	19	
3	8	18	5	14	8	14	4	6	20	
2	9	19	6	13	9	15	5	5	21	
3	8	18	5	14	10	16	4	6	20	
4	7	19	6	13	9	17	3	7	21	
3	8	20	7	12	8	16	2	8	22	
2	9	21	6	11	9	17	3	9	21	
1	10	22	7	10	8	16	2	10	22	
0	9	23	8	11	9	15	1	11	21	
1	10	22	9	10	10	14	0	10	22	
0	9	23	8	9	9	13	0	11	23	
0	10	22	7	8	8	12	0	10	24	
0	9	21	6	9	9	13	1	11	25	
0	8	22	5	10	10	14	0	12	24	
0	9	21	6	11	11	15	0	13	25	
0	10	22	5	10	12	16	0	14	26	
0	9	23	4	11	13	17	1	15	25	
1	8	24	5	10	12	16	0	16	26	
0	7	23	4	9	11	17	1	15	27	
1	8	22	3	8	12	18	2	16	28	
2	7	23	4	7	13	17	3	15	27	
3	8	22	5	6	12	16	4	16	28	
4	7	21	6	7	11	15	3	17	29	
5	6	22	5	6	10	16	2	16	28	
6	7	23	6	7	9	17	1	17	27	
7	8	22	5	8	8	18	2	18	28	
8	7	23	6	7	7	17	1	19	27	
9	8	24	7	6	6	16	0	20	26	
8	9	23	6	7	5	17	1	21	25	
9	10	24	7	6	6	16	2	22	24	
8	11	25	6	5	7	15	1	23	25	
7	12	24	7	6	6	16	2	22	24	
8	13	23	8	7	5	17	1	21	25	
7	14	24	9	6	4	18	2	22	26	
8	13	23	10	5	5	17	3	23	27	
7	14	24	9	6	4	16	2	24	28	
8	13	25	8	5	3	15	1	25	29	
7	14	26	9	6	2	14	0	24	28	
8	13	25	8	7	3	15	0	25	29	
9	14	26	9	8	4	14	1	26	28	
8	13	27	10	7	5	15	0	27	29	
9	12	28	11	8	6	14	0	28	28	
8	13	29	10	9	5	13	1	29	27	
7	14	28	11	8	4	14	0	30	26	
8	13	27	12	7	3	13	0	29	27	
7	14	28	11	8	4	14	1	30	28	
8	13	29	10	9	3	13	0	29	27	
9	12	28	9	8	2	12	0	28	28	
8	13	27	10	7	1	11	0	27	29	
9	14	28	11	8	0	12	1	28	28	
8	15	29	10	9	0	11	0	27	29	
9	16	30	11	8	0	12	0	26	30	
8	15	31	12	9	0	13	1	25	31	
9	14	32	11	10	1	14	0	24	32	
8	13	31	12	9	0	15	0	25	33	
7	14	32	13	8	0	16	0	26	34	
6	15	31	14	7	0	17	0	25	33	
5	16	32	13	6	1	18	0	24	32	
4	15	33	12	7	0	17	1	25	33	
5	16	32	13	8	1	16	0	24	34	
4	17	31	14	9	0	15	0	25	33	
5	16	30	13	10	1	14	1	26	32	
6	15	29	14	11	0	15	0	25	31	
7	14	30	15	12	1	14	0	26	30	
6	13	29	14	13	0	15	1	25	29	
5	14	30	13	12	1	16	2	24	30	
4	15	31	12	11	2	17	3	23	31	
3	16	30	11	12	1	18	2	24	30	
2	15	31	12	11	0	17	3	23	29	
3	16	30	13	10	0	16	2	24	28	
4	15	29	14	11	0	15	1	23	29	
5	14	28	13	12	1	14	0	22	30	
6	15	29	14	13	0	13	1	21	29	
5	14	30	13	12	1	12	2	22	28	
6	13	29	12	11	0	13	3	23	29	
7	12	30	11	10	1	12	4	24	28	
6	11	31	12	11	0	13	3	23	27	
5	12	32	13	12	1	14	2	24	28	
4	13	33	14	11	0	15	3	25	27	
5	12	32	15	12	0	14	4	24	28	
6	11	31	14	13	0	15	5	25	27	
5	12	30	13	12	0	14	6	24	26	
6	11	29	14	13	1	13	5	23	25	
